year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
2010,2010-11-03,statement,459,1,3,-2,-0.4357298474945534,0.25,4,0.7614527272484017,0.5042982870553324,0.0766334447087266,0.5667764181696069,0.25,0.3633963465690613,0.4490338265895843,0.1875698268413543,-0.085637480020523,0.3535906299948692
2010,2010-12-14,statement,458,1,3,-2,-0.4366812227074235,0.25,4,0.9497466942857646,0.5097465545683169,0.0658401061520821,-0.0009513752128701,0.0,0.2542602568864822,0.6000460833311081,0.1456936597824096,-0.3457858264446258,0.2885535433888435
2011,2011-01-26,statement,399,1,2,-1,-0.2506265664160401,0.3333333333333333,3,0.9156861865278798,0.4992983628880308,0.0644931305687614,0.1860546562913834,0.0833333333333333,0.4926466047763824,0.2536766976118088,0.2536766976118088,0.2389699071645736,0.47640914345781
2011,2011-03-15,statement,428,1,2,-1,-0.233644859813084,0.3333333333333333,3,0.8284622392793687,0.514614373560933,0.0572956356155589,0.016981706602956,0.0,0.6065138876438141,0.1967430561780929,0.1967430561780929,0.4097708314657211,0.5191093745330969
2011,2011-04-27,statement,429,1,2,-1,-0.2331002331002331,0.3333333333333333,3,0.9195845666130272,0.5198315930405446,0.0600948414122284,0.0005446267128509,0.0,0.6113383769989014,0.1943308115005493,0.1943308115005493,0.417007565498352,0.5209185580412546
2011,2011-06-22,statement,421,1,1,0,0.0,0.5,2,0.7027568320681528,0.5099215569103818,0.042945264387413,0.2331002331002331,0.1666666666666666,0.2959229350090027,0.171759158372879,0.5323179066181183,0.1241637766361236,0.5310409441590309
2011,2011-08-09,statement,497,0,2,-2,-0.4024144869215292,0.0,2,0.8264881243812313,0.5209984274633843,0.0643184039296283,-0.4024144869215292,-0.5,0.1741663366556167,0.2869600504636764,0.5388736128807068,-0.1127937138080596,0.221801571547985
2011,2011-09-21,statement,547,1,3,-2,-0.3656307129798903,0.25,4,0.6986557282186838,0.5349315705642257,0.0300246994430844,0.0367837739416389,0.25,0.3428532034158706,0.113254964351654,0.5438918322324753,0.2295982390642166,0.4323995597660541
2011,2011-11-02,statement,443,1,2,-1,-0.2257336343115124,0.3333333333333333,3,0.8272845089719307,0.5545496592341359,0.0467238196086479,0.1398970786683779,0.0833333333333333,0.6069051623344421,0.1965474188327789,0.1965474188327789,0.4103577435016632,0.5192561025420824
2011,2011-12-13,statement,387,1,3,-2,-0.516795865633075,0.25,4,0.8906810399527751,0.5510249553257762,0.0163198848150969,-0.2910622313215626,-0.0833333333333333,0.7081270217895508,0.1459364891052246,0.1459364891052246,0.5621905326843262,0.5155476331710815
2012,2012-01-25,statement,358,1,4,-3,-0.8379888268156425,0.2,5,0.8805529269870395,0.5497892982200607,0.0208997751040655,-0.3211929611825674,-0.0499999999999999,0.598738431930542,0.200630784034729,0.200630784034729,0.398107647895813,0.4495269119739532
2012,2012-03-13,statement,373,1,3,-2,-0.5361930294906166,0.25,4,0.9025507093815756,0.5481258186823795,0.0134568021360942,0.3017957973250258,0.0499999999999999,0.771038293838501,0.1144808530807495,0.1144808530807495,0.6565574407577515,0.5391393601894379
2012,2012-04-25,statement,382,1,3,-2,-0.5235602094240838,0.25,4,0.9465187245522444,0.544225040617531,0.0222050545849589,0.0126328200665328,0.0,0.7889506816864014,0.1055246591567993,0.1055246591567993,0.683426022529602,0.5458565056324005
2012,2012-06-20,statement,454,1,3,-2,-0.6607929515418502,0.25,4,0.7932889751433787,0.5308112152384343,0.0212556551683583,-0.1372327421177664,0.0,0.1842683181166649,0.2784070670604706,0.5373246148228645,-0.0941387489438057,0.3514653127640486
2012,2012-08-01,statement,390,1,4,-3,-0.7692307692307693,0.2,5,0.8442058427713153,0.5523717475276255,0.0312111837232903,-0.108437817688919,-0.0499999999999999,0.59968101978302,0.20015949010849,0.20015949010849,0.39952152967453,0.4498803824186325
2012,2012-09-13,statement,491,1,4,-3,-1.0183299389002036,0.2,5,0.6205021250843243,0.5903928354267812,-0.0283699872792061,-0.2490991696694343,0.0,0.4519539475440979,0.0833107531070709,0.4647352993488312,0.368643194437027,0.4421607986092567
2012,2012-10-24,statement,468,1,4,-3,-0.8547008547008548,0.2,5,0.9571514076328732,0.5955113602661624,-0.0349646093694633,0.1636290841993488,0.0,0.3850043565034866,0.2408730536699295,0.3741225898265838,0.1441313028335571,0.3860328257083892
2012,2012-12-12,statement,620,1,4,-3,-0.967741935483871,0.2,5,0.8218926508877127,0.6453327295658746,-0.0853085627151424,-0.1130410807830162,0.0,0.1616227626800537,0.1616227626800537,0.6767544746398926,0.0,0.35
2013,2013-01-30,statement,574,1,4,-3,-1.0452961672473868,0.2,5,0.9062716822651448,0.6488741625889085,-0.0778707710735631,-0.0775542317635158,0.0,0.149708479642868,0.149708479642868,0.7005830407142639,0.0,0.35
2013,2013-03-20,statement,572,2,5,-3,-1.048951048951049,0.2857142857142857,7,0.939428227416356,0.6618527545191188,-0.080541932731052,-0.0036548817036621,0.0857142857142856,0.171477198600769,0.171477198600769,0.6570456027984619,0.0,0.3928571428571428
2013,2013-05-01,statement,598,1,4,-3,-1.1705685618729096,0.2,5,0.9677706316129904,0.6676300417323996,-0.0807385526562957,-0.1216175129218606,-0.0857142857142856,0.3122067600488662,0.1563039124011993,0.5314893275499344,0.1559028476476669,0.3889757119119167
2013,2013-06-19,statement,602,1,4,-3,-1.162790697674419,0.2,5,0.9741647524813568,0.6633448707578179,-0.0821000732172204,0.0077778641984909,0.0,0.2856803238391876,0.1695671305060386,0.5447525456547737,0.1161131933331489,0.3790282983332872
2013,2013-07-31,statement,629,1,4,-3,-1.1128775834658189,0.2,5,0.9567100413439,0.6600832735521974,-0.0808786959354308,0.0499131142086,0.0,0.2816645205020904,0.1768085360527038,0.5415269434452057,0.1048559844493866,0.3762139961123466
2013,2013-09-18,statement,733,2,4,-2,-0.6821282401091405,0.3333333333333333,6,0.9005799627890879,0.6690401854061286,-0.0784112346072261,0.4307493433566781,0.1333333333333333,0.4018624573945999,0.149335891008377,0.448801651597023,0.2525265663862228,0.4797983082632223
2013,2013-10-30,statement,711,1,4,-3,-0.8438818565400843,0.2,5,0.9765141739005134,0.6677936143514006,-0.0768057725396938,-0.1617536164309437,-0.1333333333333333,0.3907891362905502,0.1208026409149169,0.4884082227945328,0.2699864953756332,0.4174966238439083
2013,2013-12-18,statement,801,1,2,-1,-0.4993757802746567,0.3333333333333333,3,0.8819485252764052,0.6629205100326374,-0.1054725853833863,0.3445060762654276,0.1333333333333333,0.1927898228168487,0.1790312925974528,0.6281788845856985,0.0137585302193959,0.4201062992215156
