fomc_date,yield_2y_pre,yield_2y_chg1d,yield_2y_dir1d,yield_2y_chg3d,yield_2y_dir3d,yield_2y_chg5d,yield_2y_dir5d,yield_10y_pre,yield_10y_chg1d,yield_10y_dir1d,yield_10y_chg3d,yield_10y_dir3d,yield_10y_chg5d,yield_10y_dir5d,spread_2s10s_pre,spread_2s10s_chg1d,spread_2s10s_dir1d,spread_2s10s_chg3d,spread_2s10s_dir3d,spread_2s10s_chg5d,spread_2s10s_dir5d,fed_funds_rate,cpi_yoy,unemployment
2013-10-30,0.31,0.0,0,0.010000000000000009,1,-0.010000000000000009,0,2.53,0.040000000000000036,1,0.10000000000000009,1,0.14000000000000012,1,2.22,0.03999999999999959,1,0.08999999999999986,1,0.1499999999999999,1,0.08,0.3142480584879203,7.2
2013-12-18,0.34,0.009999999999999953,1,0.03999999999999998,1,0.03999999999999998,1,2.85,0.08999999999999986,1,0.08999999999999986,1,0.14000000000000012,1,2.51,0.08000000000000007,1,0.050000000000000266,1,0.10000000000000053,1,0.09,1.260585771170453,6.7
2014-01-29,0.38,-0.020000000000000018,0,-0.08000000000000002,0,-0.06,0,2.77,-0.04999999999999982,0,-0.16000000000000014,0,-0.06999999999999984,0,2.39,-0.029999999999999805,0,-0.08000000000000007,0,-0.009999999999999787,0,0.07,1.4640372930618817,6.6
2014-03-19,0.36,0.09000000000000002,1,0.10999999999999999,1,0.09000000000000002,1,2.68,0.10999999999999988,1,0.06000000000000005,1,0.029999999999999805,1,2.3200000000000003,0.019999999999999574,1,-0.04999999999999982,0,-0.0600000000000005,0,0.08,1.3430656934306562,6.7
2014-04-30,0.44,-0.030000000000000027,0,-0.010000000000000009,0,-0.030000000000000027,0,2.71,-0.08000000000000007,0,-0.08000000000000007,0,-0.08999999999999986,0,2.27,-0.04999999999999982,0,-0.06999999999999984,0,-0.06000000000000005,0,0.09,1.29017887739018,6.2
2014-06-18,0.51,-0.030000000000000027,0,-0.030000000000000027,0,-0.030000000000000027,0,2.66,-0.020000000000000018,0,-0.03000000000000025,0,-0.0900000000000003,0,2.1500000000000004,0.009999999999999787,1,-4.440892098500626e-16,0,-0.0600000000000005,0,0.1,1.5243785012132527,6.1
2014-07-30,0.54,-0.010000000000000009,0,-0.07000000000000006,0,-0.06000000000000005,0,2.47,0.10999999999999988,1,0.03999999999999959,1,0.020000000000000018,1,1.93,0.11999999999999988,1,0.1100000000000001,1,0.07999999999999985,1,0.09,1.4515164459632637,6.2
2014-09-17,0.55,0.039999999999999925,1,0.029999999999999916,1,0.039999999999999925,1,2.6,0.029999999999999805,1,-0.03000000000000025,0,-0.03000000000000025,0,2.05,-0.009999999999999787,0,-0.05999999999999983,0,-0.06999999999999984,0,0.09,0.9303491890789052,5.9
2014-10-29,0.42,0.06,1,0.10000000000000003,1,0.10000000000000003,1,2.3,0.020000000000000018,1,0.06000000000000005,1,0.06000000000000005,1,1.88,-0.039999999999999813,0,-0.039999999999999813,0,-0.039999999999999813,0,0.09,0.7994158278390451,5.7
2014-12-17,0.58,0.09000000000000008,1,0.13,1,0.15000000000000002,1,2.07,0.15000000000000036,1,0.10000000000000009,1,0.20000000000000018,1,1.4899999999999998,0.06000000000000072,1,-0.029999999999999805,0,0.050000000000000266,1,0.13,-0.0913442833702538,5.6
2015-01-28,0.54,-0.030000000000000027,0,-0.050000000000000044,0,-0.020000000000000018,0,1.83,-0.06000000000000005,0,-0.15000000000000013,0,-0.020000000000000018,0,1.29,-0.030000000000000027,0,-0.10000000000000009,0,0.0,0,0.12,-0.916350804919841,5.7
2015-03-18,0.7,-0.06999999999999995,0,-0.09999999999999998,0,-0.10999999999999999,0,2.06,-0.08000000000000007,0,-0.14000000000000012,0,-0.13000000000000012,0,1.36,-0.010000000000000009,0,-0.04000000000000026,0,-0.020000000000000018,0,0.11,-0.6408475018736981,5.4
2015-04-29,0.56,0.019999999999999907,1,0.039999999999999925,1,0.08999999999999997,1,2.0,0.04999999999999982,1,0.16000000000000014,1,0.25,1,1.44,0.029999999999999805,1,0.1200000000000001,1,0.16000000000000014,1,0.13,-0.5213509643729464,5.4
2015-06-17,0.71,-0.04999999999999993,0,-0.029999999999999916,0,-0.029999999999999916,0,2.32,0.03000000000000025,1,0.050000000000000266,1,0.06000000000000005,1,1.61,0.07999999999999985,1,0.07999999999999985,1,0.08999999999999941,1,0.14,0.0956071263109148,5.3
2015-07-29,0.69,0.030000000000000027,1,-0.009999999999999898,0,0.040000000000000036,1,2.26,0.020000000000000018,1,-0.09999999999999964,0,0.020000000000000018,1,1.5699999999999998,-0.010000000000000009,0,-0.08999999999999986,0,-0.020000000000000018,0,0.14,0.4434917272546856,5.2
2015-09-17,0.82,-0.13,0,-0.13,0,-0.1499999999999999,0,2.3,-0.16999999999999993,0,-0.1599999999999997,0,-0.16999999999999993,0,1.48,-0.040000000000000036,0,-0.029999999999999805,0,-0.020000000000000018,0,0.14,1.1718999603828717,5.0
2015-10-28,0.65,0.09999999999999998,1,0.12,1,0.18999999999999995,1,2.05,0.14000000000000012,1,0.15000000000000036,1,0.20000000000000018,1,1.4,0.040000000000000036,1,0.03000000000000025,1,0.010000000000000009,1,0.12,1.015968250461019,5.0
2015-12-16,0.98,0.020000000000000018,1,-0.020000000000000018,0,0.030000000000000027,1,2.28,-0.03999999999999959,0,-0.07999999999999963,0,-0.009999999999999787,0,1.2999999999999998,-0.05999999999999961,0,-0.05999999999999961,0,-0.039999999999999813,0,0.15,0.6515057869292296,5.0
2016-01-27,0.85,-0.020000000000000018,0,-0.039999999999999925,0,-0.13,0,2.01,-0.009999999999999787,0,-0.039999999999999813,0,-0.1299999999999999,0,1.1599999999999997,0.010000000000000231,1,2.220446049250313e-16,1,2.220446049250313e-16,1,0.38,0.2746823853063906,4.8
2016-03-16,0.98,-0.10999999999999999,0,-0.10999999999999999,0,-0.10999999999999999,0,1.97,-0.06000000000000005,0,-0.050000000000000044,0,-0.09000000000000008,0,0.99,0.050000000000000044,1,0.05999999999999983,1,0.019999999999999796,1,0.37,0.019324970382395,5.0
2016-04-27,0.86,-0.07999999999999996,0,-0.05999999999999994,0,-0.10999999999999999,0,1.94,-0.09999999999999987,0,-0.06000000000000005,0,-0.1499999999999999,0,1.08,-0.020000000000000018,0,-2.220446049250313e-16,0,-0.040000000000000036,0,0.37,0.4028853142211464,5.1
2016-06-15,0.74,-0.040000000000000036,0,0.0,0,0.010000000000000009,1,1.62,-0.050000000000000044,0,0.04999999999999982,1,0.06999999999999984,1,0.8800000000000001,-0.010000000000000009,0,0.04999999999999993,1,0.05999999999999983,1,0.37,1.0469728645160714,4.9
2016-07-27,0.75,-0.030000000000000027,0,-0.07999999999999996,0,-0.07999999999999996,0,1.57,-0.050000000000000044,0,-0.06000000000000005,0,-0.020000000000000018,0,0.8200000000000001,-0.020000000000000018,0,0.019999999999999907,1,0.05999999999999994,1,0.4,0.8755677115500182,4.8
2016-09-21,0.79,0.0,0,-0.030000000000000027,0,-0.040000000000000036,0,1.69,-0.06000000000000005,0,-0.09999999999999987,0,-0.11999999999999988,0,0.8999999999999999,-0.06000000000000005,0,-0.06999999999999984,0,-0.07999999999999985,0,0.4,1.4828404557925,5.0
2016-11-02,0.83,-0.019999999999999907,0,-0.010000000000000009,0,0.07000000000000006,1,1.83,-0.010000000000000009,0,0.0,0,0.23999999999999977,1,1.0,0.010000000000000009,1,0.010000000000000231,1,0.16999999999999993,1,0.41,1.9761013921191892,4.7
2016-12-14,1.17,0.1200000000000001,1,0.07000000000000006,1,0.040000000000000036,1,2.48,0.1200000000000001,1,0.06000000000000005,1,0.06999999999999984,1,1.31,0.0,0,-0.010000000000000009,0,0.030000000000000027,1,0.41,1.5251556537457356,4.7
2017-02-01,1.19,0.020000000000000018,1,-0.030000000000000027,0,-0.040000000000000036,0,2.45,0.029999999999999805,1,-0.03000000000000025,0,-0.11000000000000032,0,1.2600000000000002,0.009999999999999787,1,-2.220446049250313e-16,0,-0.07000000000000028,0,0.66,1.8571780411342556,4.6
2017-03-15,1.4,-0.04999999999999982,0,-0.09999999999999987,0,-0.1299999999999999,0,2.6,-0.07000000000000028,0,-0.1299999999999999,0,-0.20000000000000018,0,1.2000000000000002,-0.020000000000000684,0,-0.030000000000000027,0,-0.07000000000000028,0,0.66,1.5789188716415214,4.4
2017-05-03,1.27,0.050000000000000044,1,0.06000000000000005,1,0.08000000000000007,1,2.29,0.06999999999999984,1,0.10000000000000009,1,0.1200000000000001,1,1.02,0.019999999999999796,1,0.040000000000000036,1,0.040000000000000036,1,0.91,1.437984576690443,4.4
2017-06-14,1.38,-0.029999999999999805,0,-0.019999999999999796,0,-0.019999999999999796,0,2.21,-0.04999999999999982,0,-0.020000000000000018,0,-0.04999999999999982,0,0.8300000000000001,-0.020000000000000018,0,-2.220446049250313e-16,0,-0.030000000000000027,0,0.91,1.001898726322792,4.3
2017-07-26,1.4,-0.039999999999999813,0,-0.05999999999999983,0,-0.039999999999999813,0,2.33,-0.010000000000000231,0,-0.03000000000000025,0,-0.06000000000000005,0,0.9300000000000002,0.02999999999999947,1,0.02999999999999947,1,-0.02000000000000013,0,1.16,0.9160172873988736,4.3
2017-09-20,1.4,0.050000000000000044,1,0.040000000000000036,1,0.07000000000000006,1,2.24,0.029999999999999805,1,-0.020000000000000018,0,0.06999999999999984,1,0.8400000000000003,-0.02000000000000024,0,-0.06000000000000005,0,-2.220446049250313e-16,0,1.16,1.1563184986331132,4.3
2017-11-01,1.6,0.010000000000000009,1,0.010000000000000009,1,0.04999999999999982,1,2.38,-0.029999999999999805,0,-0.06000000000000005,0,-0.06000000000000005,0,0.7799999999999998,-0.039999999999999813,0,-0.07000000000000006,0,-0.10999999999999988,0,1.16,1.343409588288802,4.2
2017-12-13,1.83,-0.010000000000000009,0,0.010000000000000009,1,0.040000000000000036,1,2.4,-0.04999999999999982,0,-0.009999999999999787,0,0.0900000000000003,1,0.5699999999999998,-0.039999999999999813,0,-0.019999999999999796,0,0.050000000000000266,1,1.17,1.4791578792184843,4.1
2018-01-31,2.13,0.03000000000000025,1,-0.04999999999999982,0,0.020000000000000018,1,2.73,0.04999999999999982,1,0.040000000000000036,1,0.10999999999999988,1,0.6000000000000001,0.019999999999999574,1,0.08999999999999986,1,0.08999999999999986,1,1.34,1.9897214799757368,4.0
2018-03-21,2.34,-0.04999999999999982,0,-0.009999999999999787,0,-0.06000000000000005,0,2.89,-0.06000000000000005,0,-0.040000000000000036,0,-0.1200000000000001,0,0.5500000000000003,-0.010000000000000231,0,-0.03000000000000025,0,-0.06000000000000005,0,1.44,2.183890633508434,4.0
2018-05-02,2.5,-0.009999999999999787,0,-0.009999999999999787,0,0.040000000000000036,1,2.97,-0.03000000000000025,0,-0.020000000000000018,0,0.029999999999999805,1,0.4700000000000002,-0.020000000000000517,0,-0.010000000000000286,0,-0.010000000000000286,0,1.7,2.2876789989518143,3.8
2018-06-13,2.54,0.04999999999999982,1,0.020000000000000018,1,0.020000000000000018,1,2.96,-0.020000000000000018,0,-0.040000000000000036,0,-0.029999999999999805,0,0.4199999999999999,-0.06999999999999978,0,-0.06,0,-0.04999999999999977,0,1.7,1.780834137519971,4.0
2018-08-01,2.67,-0.009999999999999787,0,-0.029999999999999805,0,0.010000000000000231,1,2.96,0.020000000000000018,1,-0.020000000000000018,0,0.0,0,0.29,0.029999999999999805,1,0.009999999999999842,1,-0.010000000000000175,0,1.91,1.7708383882499623,3.8
2018-09-26,2.83,0.0,0,-0.010000000000000231,0,0.020000000000000018,1,3.1,-0.040000000000000036,0,-0.010000000000000231,0,0.04999999999999982,1,0.27,-0.04000000000000012,0,0.0,0,0.029999999999999805,1,1.93,1.3352942831081016,3.7
2018-11-08,2.96,-0.020000000000000018,0,-0.06999999999999984,0,-0.10000000000000009,0,3.22,-0.03000000000000025,0,-0.08000000000000007,0,-0.11000000000000032,0,0.2600000000000002,-0.010000000000000175,0,-0.010000000000000175,0,-0.010000000000000175,0,2.2,1.2088453663598786,3.8
2018-12-19,2.65,0.020000000000000018,1,-0.10000000000000009,0,-0.040000000000000036,0,2.82,-0.029999999999999805,0,-0.07999999999999963,0,-0.009999999999999787,0,0.1699999999999999,-0.049999999999999795,0,0.02000000000000049,1,0.030000000000000193,1,2.2,1.0150783088955118,3.9
2019-01-30,2.56,-0.10999999999999988,0,-0.03000000000000025,0,-0.040000000000000036,0,2.72,-0.0900000000000003,0,0.009999999999999787,1,-0.020000000000000018,0,0.1600000000000001,0.0199999999999996,1,0.04000000000000001,1,0.020000000000000018,1,2.4,0.7053654024051781,4.0
